fips_county,gov,state,county,pop
30025,Democratic,MT,"Fallon County, Montana",3120
48191,Republican,TX,"Hall County, Texas",3138
2195,Independent,AK,"Petersburg Borough, Alaska",3149
13007,Republican,GA,"Baker County, Georgia",3150
20207,Republican,KS,"Woodson County, Kansas",3165
38011,Republican,ND,"Bowman County, North Dakota",3241
48081,Republican,TX,"Coke County, Texas",3264
2013,Independent,AK,"Aleutians East Borough, Alaska",3296
38031,Republican,ND,"Foster County, North Dakota",3303
48417,Republican,TX,"Shackelford County, Texas",3315
46059,Republican,SD,"Hand County, South Dakota",3319
46071,Republican,SD,"Jackson County, South Dakota",3326
38029,Republican,ND,"Emmons County, North Dakota",3346
30039,Democratic,MT,"Granite County, Montana",3368
20019,Republican,KS,"Chautauqua County, Kansas",3374
46061,Republican,SD,"Hanson County, South Dakota",3374
48385,Republican,TX,"Real County, Texas",3389
48129,Republican,TX,"Donley County, Texas",3405
46007,Republican,SD,"Bennett County, South Dakota",3460
31083,Republican,NE,"Harlan County, Nebraska",3473
48295,Republican,TX,"Lipscomb County, Texas",3487
35003,Republican,NM,"Catron County, New Mexico",3508
31125,Republican,NE,"Nance County, Nebraska",3576
48271,Republican,TX,"Kinney County, Texas",3590
31181,Republican,NE,"Webster County, Nebraska",3603
48383,Republican,TX,"Reagan County, Texas",3608
30097,Democratic,MT,"Sweet Grass County, Montana",3623
20183,Republican,KS,"Smith County, Kansas",3632
40129,Republican,OK,"Roger Mills County, Oklahoma",3640
20141,Republican,KS,"Osborne County, Kansas",3642
30091,Democratic,MT,"Sheridan County, Montana",3648
46025,Republican,SD,"Clark County, South Dakota",3656
48461,Republican,TX,"Upton County, Texas",3673
48105,Republican,TX,"Crockett County, Texas",3675
31105,Republican,NE,"Kimball County, Nebraska",3679
19003,Republican,IA,"Adams County, Iowa",3693
48023,Republican,TX,"Baylor County, Texas",3697
29129,Republican,MO,"Mercer County, Missouri",3699
40059,Republican,OK,"Harper County, Oklahoma",3717
48275,Republican,TX,"Knox County, Texas",3806
38019,Republican,ND,"Cavalier County, North Dakota",3827
48151,Republican,TX,"Fisher County, Texas",3854
51720,Democratic,VA,"Norton city, Virginia",3864
48435,Republican,TX,"Sutton County, Texas",3869
38081,Republican,ND,"Sargent County, North Dakota",3890
46085,Republican,SD,"Lyman County, South Dakota",3894
48197,Republican,TX,"Hardeman County, Texas",3906
20093,Republican,KS,"Kearny County, Kansas",3917
29103,Republican,MO,"Knox County, Missouri",3934
31029,Republican,NE,"Chase County, Nebraska",3937
46045,Republican,SD,"Edmunds County, South Dakota",3952
13101,Republican,GA,"Echols County, Georgia",3962
20081,Republican,KS,"Haskell County, Kansas",4006
17069,Republican,IL,"Hardin County, Illinois",4024
32029,Republican,NV,"Storey County, Nevada",4051
48229,Republican,TX,"Hudspeth County, Texas",4053
40045,Republican,OK,"Ellis County, Oklahoma",4080
38103,Republican,ND,"Wells County, North Dakota",4098
38045,Republican,ND,"LaMoure County, North Dakota",4111
48319,Republican,TX,"Mason County, Texas",4111
48211,Republican,TX,"Hemphill County, Texas",4129
46031,Republican,SD,"Corson County, South Dakota",4132
30071,Democratic,MT,"Phillips County, Montana",4133
37177,Democratic,NC,"Tyrrell County, North Carolina",4141
17151,Republican,IL,"Pope County, Illinois",4157
46053,Republican,SD,"Gregory County, South Dakota",4171
35059,Republican,NM,"Union County, New Mexico",4183
30061,Democratic,MT,"Mineral County, Montana",4184
31175,Republican,NE,"Valley County, Nebraska",4184
20185,Republican,KS,"Stafford County, Kansas",4208
20119,Republican,KS,"Meade County, Kansas",4216
46039,Republican,SD,"Deuel County, South Dakota",4231
31129,Republican,NE,"Nuckolls County, Nebraska",4265
38069,Republican,ND,"Pierce County, North Dakota",4267
48095,Republican,TX,"Concho County, Texas",4279
35023,Republican,NM,"Hidalgo County, New Mexico",4302
38025,Republican,ND,"Dunn County, North Dakota",4366
35019,Republican,NM,"Guadalupe County, New Mexico",4376
29197,Republican,MO,"Schuyler County, Missouri",4394
48267,Republican,TX,"Kimble County, Texas",4423
29087,Republican,MO,"Holt County, Missouri",4448
32021,Republican,NV,"Mineral County, Nevada",4449
55037,Republican,WI,"Florence County, Wisconsin",4456
40053,Republican,OK,"Grant County, Oklahoma",4465
38085,Republican,ND,"Sioux County, North Dakota",4469
51017,Democratic,VA,"Bath County, Virginia",4476
21189,Republican,KY,"Owsley County, Kentucky",4491
35033,Republican,NM,"Mora County, New Mexico",4504
55078,Republican,WI,"Menominee County, Wisconsin",4533
28125,Republican,MS,"Sharkey County, Mississippi",4552
30065,Democratic,MT,"Musselshell County, Montana",4589
22107,Democratic,LA,"Tensas Parish, Louisiana",4597
21105,Republican,KY,"Hickman County, Kentucky",4627
42023,Democratic,PA,"Cameron County, Pennsylvania",4677
56017,Republican,WY,"Hot Springs County, Wyoming",4679
20007,Republican,KS,"Barber County, Kansas",4688
20157,Republican,KS,"Republic County, Kansas",4699
31065,Republican,NE,"Furnas County, Nebraska",4787
31123,Republican,NE,"Morrill County, Nebraska",4787
46091,Republican,SD,"Marshall County, South Dakota",4801
40043,Republican,OK,"Dewey County, Oklahoma",4819
48103,Republican,TX,"Crane County, Texas",4830
29171,Republican,MO,"Putnam County, Missouri",4853
21039,Republican,KY,"Carlisle County, Kentucky",4855
17013,Republican,IL,"Calhoun County, Illinois",4894
48333,Republican,TX,"Mills County, Texas",4907
29199,Republican,MO,"Scotland County, Missouri",4932
2070,Independent,AK,"Dillingham Census Area, Alaska",4954
30101,Democratic,MT,"Toole County, Montana",4977
