Country Code,Country Name,2014,values,bin
NER,Niger,2584639000.0,21.6728516833,2
COL,Colombia,1.02345118e+11,25.3516164488,5
NGA,Nigeria,26858199000.0,24.0138369744,4
BWA,Botswana,2383923000.0,21.592013287,2
MDA,Moldova,6463445000.0,22.5894282943,3
MDG,Madagascar,2852723000.0,21.7715398137,2
ECU,Ecuador,26332952000.0,23.9940869196,4
SEN,Senegal,5654718000.0,22.4557560779,3
MDV,Maldives,1025533000.0,20.7484783144,1
KHM,Cambodia,6811044000.0,22.6418112493,3
SRB,Serbia,33102741000.0,24.2228819256,4
MOZ,Mozambique,7792576000.0,22.7764373225,3
ZMB,Zambia,7373097000.0,22.721103672,3
GMB,"Gambia, The",500102000.0,20.0303226356,1
GTM,Guatemala,18761127000.0,23.6550528533,4
KEN,Kenya,16179130000.0,23.506987977,4
LAO,Lao PDR,10724348000.0,23.0957825074,3
MEX,Mexico,4.32602236e+11,26.7930845192,7
TUR,Turkey,4.08202751e+11,26.7350298266,7
ALB,Albania,8000121000.0,22.8027225035,3
MMR,Myanmar,6351063000.0,22.5718880374,3
TUN,Tunisia,26404635000.0,23.9968053999,4
LBN,Lebanon,30608412000.0,24.1445407101,4
BRA,Brazil,5.56871157e+11,27.0455997341,7
IRN,"Iran, Islamic Rep.",5495361000.0,22.4271701187,3
WSM,Samoa,450184000.0,19.925166946,1
GNB,Guinea-Bissau,271385000.0,19.4190490349,0
SWZ,Swaziland,438397000.0,19.8986354505,1
TON,Tonga,195794000.0,19.0925736441,0
CIV,Cote d'Ivoire,10856989000.0,23.108074857,3
UKR,Ukraine,1.30686414e+11,25.5960665042,6
ERI,Eritrea,908093000.0,20.6268573542,1
BIH,Bosnia and Herzegovina,10590579000.0,23.0832306693,3
SOM,Somalia,2919581000.0,21.7947059498,2
UZB,Uzbekistan,13389146000.0,23.3177102157,4
CMR,Cameroon,5288948000.0,22.3888851973,3
AZE,Azerbaijan,11693019000.0,23.182257834,3
GAB,Gabon,4325981000.0,22.1879047724,3
MWI,Malawi,1637225000.0,21.2162685724,2
SLV,El Salvador,14535672000.0,23.3998716031,4
MLI,Mali,3416256000.0,21.9518110515,2
SLE,Sierra Leone,1237857000.0,20.9366474957,1
SLB,Solomon Islands,187266000.0,19.048040624,0
KGZ,Kyrgyz Republic,7257121000.0,22.7052490307,3
ARM,Armenia,8550992000.0,22.8693131366,3
CAF,Central African Republic,657361000.0,20.3037438928,1
UGA,Uganda,5134973000.0,22.3593404223,3
PNG,Papua New Guinea,20920347000.0,23.763988063,4
