DATE,realUSDCAD,realUSDJPY,realUSDEUR,realUSDGBP
1986-12-01,0.00391240968431,5.0156964806e-05,,
1987-01-01,0.00393198667552,5.20501397108e-05,,
1987-02-01,0.00401941917961,5.2286144443e-05,,
1987-03-01,0.00405754847706,5.29669990567e-05,,
1987-04-01,0.00405413422613,5.63284480102e-05,,
1987-05-01,0.00399105419163,5.71589477253e-05,,
1987-06-01,0.00400131631909,5.53535886018e-05,,
1987-07-01,0.00404569668829,5.28051794119e-05,,
1987-08-01,0.00402629957963,5.3642737217e-05,,
1987-09-01,0.00404786700232,5.523279577e-05,,
1987-10-01,0.0040779778885,5.51384633519e-05,,
1987-11-01,0.00408144489104,5.81222078716e-05,,
1987-12-01,0.00410439057833,6.13652945301e-05,,
1988-01-01,0.00416380850976,6.1405237486e-05,,
1988-02-01,0.00423929727422,6.04773433415e-05,,
1988-03-01,0.00429727484297,6.13927804375e-05,,
1988-04-01,0.0043354057331,6.24355839191e-05,,
1988-05-01,0.00433762770663,6.227813626e-05,,
1988-06-01,0.00438913063532,6.05781636655e-05,,
1988-07-01,0.00442543033748,5.77395758982e-05,,
1988-08-01,0.00436644029671,5.72397513864e-05,,
1988-09-01,0.00432667490258,5.7121309968e-05,,
1988-10-01,0.00440614596215,5.98778458295e-05,,
1988-11-01,0.00437298110523,6.22860376761e-05,,
1988-12-01,0.00444747542468,6.17771679063e-05,,
1989-01-01,0.00446175522711,5.96587977818e-05,,
1989-02-01,0.00448777325802,5.91103352557e-05,,
1989-03-01,0.00444452861435,5.79441314383e-05,,
1989-04-01,0.00445801531373,5.7719581066e-05,,
1989-05-01,0.00446035423102,5.52603742144e-05,,
1989-06-01,0.0044562052869,5.27286467796e-05,,
1989-07-01,0.00450452771482,5.38766137551e-05,,
1989-08-01,0.00454222295803,5.32164832678e-05,,
1989-09-01,0.00448910982165,5.22317700224e-05,,
1989-10-01,0.00452721800752,5.34768801082e-05,,
1989-11-01,0.00454833775438,5.24132321108e-05,,
1989-12-01,0.00455612724466,5.23304183767e-05,,
1990-01-01,0.00452096609929,5.15496975924e-05,,
1990-02-01,0.00441900948609,5.11648271475e-05,,
1990-03-01,0.00447937134358,4.85617094305e-05,,
1990-04-01,0.00452770354928,4.72531723076e-05,,
1990-05-01,0.00449938512198,4.87457256503e-05,,
1990-06-01,0.00449877379568,4.83925654975e-05,,
1990-07-01,0.00456081785898,4.97130648487e-05,,
1990-08-01,0.00457895377392,4.98386297044e-05,,
1990-09-01,0.00450507200861,5.29725825834e-05,,
1990-10-01,0.00451650897929,5.6713392144e-05,,
1990-11-01,0.0045208015934,5.66927779903e-05,,
1990-12-01,0.00452765906362,5.47138723451e-05,,
1991-01-01,0.00469102462031,5.49663324816e-05,,
1991-02-01,0.00468852604334,5.60440840947e-05,,
1991-03-01,0.00470015271231,5.34401394129e-05,,
1991-04-01,0.00471383898461,5.3629580304e-05,,
1991-05-01,0.00473699227395,5.33091358813e-05,,
1991-06-01,0.00476462998309,5.24668016983e-05,,
1991-07-01,0.00473527966471,5.31718861282e-05,,
1991-08-01,0.00473831696472,5.35695018431e-05,,
1991-09-01,0.00475720214846,5.43890662374e-05,,
1991-10-01,0.00479984407044,5.63313820057e-05,,
1991-11-01,0.00478176448194,5.68298692168e-05,,
1991-12-01,0.0046930167441,5.71551434336e-05,,
1992-01-01,0.00468225626376,5.8245147132e-05,,
1992-02-01,0.00456515336157,5.69051368968e-05,,
1992-03-01,0.00450823235976,5.46888398771e-05,,
1992-04-01,0.00452224187017,5.48705522004e-05,,
1992-05-01,0.00447690552836,5.60067241327e-05,,
1992-06-01,0.00448289111152,5.75385857701e-05,,
1992-07-01,0.00450242189862,5.76245635292e-05,,
1992-08-01,0.00449605000622,5.735820402e-05,,
1992-09-01,0.00436670094379,5.91800478241e-05,,
1992-10-01,0.00428643403989,5.96098749453e-05,,
1992-11-01,0.00422027766436,5.80508508366e-05,,
1992-12-01,0.00420632558958,5.79027603954e-05,,
1993-01-01,0.00418710930311,5.71795403927e-05,,
1993-02-01,0.00423591339277,5.90352790302e-05,,
1993-03-01,0.00426550506389,6.10086436191e-05,,
1993-04-01,0.00419830933853,6.36409661843e-05,,
1993-05-01,0.00416706342479,6.49954387004e-05,,
1993-06-01,0.00413168223865,6.65476766866e-05,,
1993-07-01,0.00411698630416,6.65678487342e-05,,
1993-08-01,0.00401940450026,6.90955836538e-05,,
1993-09-01,0.00397920317,6.77707141502e-05,,
1993-10-01,0.00394396742515,6.65160799163e-05,,
1993-11-01,0.00400416631791,6.54975781336e-05,,
1993-12-01,0.00395486970351,6.4408843315e-05,,
1994-01-01,0.00397994614433,6.34130129402e-05,,
1994-02-01,0.00381702782667,6.63170279534e-05,,
1994-03-01,0.00374272452171,6.71073299856e-05,,
1994-04-01,0.00368737850516,6.806091637e-05,,
1994-05-01,0.00366508972344,6.79691421358e-05,,
1994-06-01,0.00366658354213,6.83523925956e-05,,
1994-07-01,0.00365934536768,7.06520099591e-05,,
1994-08-01,0.00366022142474,6.96504285778e-05,,
1994-09-01,0.00371162927612,7.04873477742e-05,,
1994-10-01,0.00371068064166,7.11500597036e-05,,
1994-11-01,0.00369220229377,7.10063658532e-05,,
1994-12-01,0.00362682535831,6.91572814435e-05,,
1995-01-01,0.00356765812489,6.92353993133e-05,,
1995-02-01,0.00360218212942,6.98311656141e-05,,
1995-03-01,0.00357192255814,7.55343048846e-05,,
1995-04-01,0.00366665401918,8.15085930724e-05,,
1995-05-01,0.00370897841818,8.01421006566e-05,,
1995-06-01,0.00365292743299,8.02804384936e-05,,
1995-07-01,0.003705062233,7.73685904721e-05,,
1995-08-01,0.00369911967012,7.13246480217e-05,,
1995-09-01,0.00371204477259,6.74631371205e-05,,
1995-10-01,0.00370977956475,6.68543616165e-05,,
1995-11-01,0.00369972891149,6.5919854604e-05,,
1995-12-01,0.00365915076089,6.60214114334e-05,,
1996-01-01,0.00364420879321,6.3276039492e-05,,0.671325388601
1996-02-01,0.00362687782375,6.29889344124e-05,,0.675284699806
1996-03-01,0.00364180114347,6.26360163492e-05,,0.670864739884
1996-04-01,0.00366130326293,6.19609409219e-05,,0.666341650672
1996-05-01,0.0036395210153,6.24007959249e-05,,0.666649297573
1996-06-01,0.00364651909805,6.06284753803e-05,,0.678815571155
1996-07-01,0.00362513775837,6.03846620658e-05,,0.678571974522
1996-08-01,0.00361163194189,6.08919407184e-05,,0.678881818182
1996-09-01,0.00360754951406,5.96740564475e-05,,0.684787642586
1996-10-01,0.00365789266357,5.82287403558e-05,,0.694444662034
1996-11-01,0.00370204225527,5.80104205019e-05,,0.726339155107
1996-12-01,0.00362041924983,5.72080680102e-05,,0.729136506936
1997-01-01,0.00365138991411,5.50735474016e-05,,0.721358893777
1997-02-01,0.00363538064583,5.25954199498e-05,,0.706871177945
1997-03-01,0.00358164058177,5.25953112231e-05,,0.69917
1997-04-01,0.00352929187811,5.22267036129e-05,,0.709894756554
1997-05-01,0.00357468347082,5.52424718181e-05,,0.713641474079
1997-06-01,0.00357194068706,5.75423486747e-05,,0.720349220212
1997-07-01,0.00357328149626,5.67115541391e-05,,0.727047102804
1997-08-01,0.00354495676124,5.53800299004e-05,,0.701032649254
1997-09-01,0.00353288708482,5.43003515247e-05,,0.701313771712
1997-10-01,0.00352879095482,5.42430314387e-05,,0.713426980198
1997-11-01,0.00346624473771,5.20602583159e-05,,0.738305510836
1997-12-01,0.00343198278842,5.03282986014e-05,,0.727469249845
1998-01-01,0.00343395082007,5.0355000715e-05,,0.711265470297
1998-02-01,0.00344552194194,5.16886476384e-05,,0.71449289685
1998-03-01,0.00347614461698,5.04450737926e-05,,0.724391676942
1998-04-01,0.00344144323764,4.94244904113e-05,,0.731695569231
1998-05-01,0.00341330545839,4.83663631847e-05,,0.718473464373
1998-06-01,0.00336554081294,4.62613581932e-05,,0.721923435583
1998-07-01,0.00330585881477,4.57064766597e-05,,0.715090073529
1998-08-01,0.00320265577437,4.43800027037e-05,,0.712087148103
1998-09-01,0.00321514985613,4.80512579033e-05,,0.73523502445
1998-10-01,0.00316904904997,5.3656010367e-05,,0.738717073171
1998-11-01,0.00318581975427,5.39439133017e-05,,0.72521195122
1998-12-01,0.00317144298397,5.53044225015e-05,,0.731930689445
1999-01-01,0.00322046514502,5.66885968936e-05,0.612001978089,0.716955082167
1999-02-01,0.00326315389779,5.47716671457e-05,0.591954261398,0.707437082067
1999-03-01,0.00323495522591,5.33745731601e-05,0.575110678788,0.706493757576
1999-04-01,0.00328583003632,5.30577583911e-05,0.563444350181,0.698932490975
1999-05-01,0.00335013650858,5.2089145901e-05,0.560281588448,0.703700120337
1999-06-01,0.00333811909083,5.25395761014e-05,0.546946570397,0.693853790614
1999-07-01,0.00329153993386,5.27425127422e-05,0.545435872825,0.679362267546
1999-08-01,0.00327442460353,5.56112228312e-05,0.55753994614,0.692867624177
1999-09-01,0.00330487940559,5.88584295371e-05,0.54973270399,0.700585348422
1999-10-01,0.00330487780522,5.9258120493e-05,0.559678109394,0.712339833532
1999-11-01,0.00331881909646,5.96840081257e-05,0.540639809863,0.697113487819
1999-12-01,0.00330448292312,6.06532469384e-05,0.530729946524,0.695890196078
2000-01-01,0.00334837058526,5.88036607172e-05,0.530797180095,0.698724881517
2000-02-01,0.00334743082487,5.61087707881e-05,0.513649858657,0.680329799764
2000-03-01,0.0033121697317,5.74276998672e-05,0.501469795561,0.667212441589
2000-04-01,0.00328159764368,5.7929711137e-05,0.491535545826,0.670607005254
2000-05-01,0.00323601756471,5.63695139013e-05,0.471120822157,0.640555102041
2000-06-01,0.00329066674932,5.6961720245e-05,0.493609425754,0.63817099768
2000-07-01,0.00328127220197,5.56273757609e-05,0.486790115741,0.632528935185
2000-08-01,0.00326680837128,5.58019564653e-05,0.4695234375,0.624683159722
2000-09-01,0.00325213156338,5.61586387203e-05,0.451118825561,0.603316983305
2000-10-01,0.00319381141946,5.51258572843e-05,0.441536206897,0.609418735632
2000-11-01,0.00313293666916,5.46497306842e-05,0.443515267088,0.599474784607
2000-12-01,0.00318066328969,5.31732005453e-05,0.467838770115,0.615426896552
2001-01-01,0.00320331045931,5.07690139326e-05,0.483471753284,0.612601370645
2001-02-01,0.0031682544795,5.05617126978e-05,0.474073208191,0.60066410694
2001-03-01,0.00309216573868,4.81649373686e-05,0.469357065834,0.598459137344
2001-04-01,0.0031101558613,4.72330721995e-05,0.461890192199,0.59533250424
2001-05-01,0.00314242762488,4.78400278903e-05,0.45346155318,0.594040517727
2001-06-01,0.00315524200138,4.73482059663e-05,0.441547303371,0.583641573034
2001-07-01,0.00315431364857,4.65721923213e-05,0.446378338028,0.586643830986
2001-08-01,0.00313885997193,4.79129720818e-05,0.466645892958,0.598361014085
2001-09-01,0.00306585762463,4.87114143373e-05,0.470983712844,0.608343129557
2001-10-01,0.00305629719158,4.76858955492e-05,0.469662915025,0.603052279122
2001-11-01,0.00301588104246,4.71647782992e-05,0.461375208568,0.597222547914
2001-12-01,0.00306289372281,4.53815701879e-05,0.466833457838,0.603600452745
2002-01-01,0.00301604966696,4.33722294698e-05,0.461996883117,0.596008695652
2002-02-01,0.00303493506555,4.27230016439e-05,0.454497564679,0.590524521935
2002-03-01,0.00303756669921,4.34489388998e-05,0.45751852349,0.589733221477
2002-04-01,0.00304783031726,4.34304512258e-05,0.461922358176,0.597062068966
2002-05-01,0.00310311889807,4.50295043034e-05,0.478951446051,0.605678976641
2002-06-01,0.00315445183355,4.60853093489e-05,0.499095892162,0.615253029461
2002-07-01,0.00314784794952,4.79979147211e-05,0.517546751805,0.64299611327
2002-08-01,0.0030928884543,4.75849426923e-05,0.508319706696,0.634450913116
2002-09-01,0.00307158278203,4.66422476816e-05,0.509641116022,0.643156022099
2002-10-01,0.00307498611062,4.54571319246e-05,0.510516249311,0.643445945946
2002-11-01,0.00309381906014,4.63167990351e-05,0.520477175951,0.649064478764
2002-12-01,0.0031282081274,4.62199632637e-05,0.533424013267,0.659423770039
2003-01-01,0.00316595023281,4.70702072656e-05,0.553372878371,0.664982113374
2003-02-01,0.00323722663289,4.63676513516e-05,0.559571272529,0.65861551065
2003-03-01,0.00329957805299,4.64349825216e-05,0.560306856678,0.646917752443
2003-04-01,0.00332135182805,4.62033629693e-05,0.565911381937,0.646514961915
2003-05-01,0.00350856932962,4.73217100006e-05,0.602486386921,0.667526975477
2003-06-01,0.00357936427895,4.684031595e-05,0.608547762657,0.68171943386
2003-07-01,0.00350575066544,4.6461464655e-05,0.591239559543,0.66418776509
2003-08-01,0.00346031877833,4.63896687935e-05,0.579141495125,0.652756446371
2003-09-01,0.00352888860473,4.78421260496e-05,0.58512962203,0.662075863931
2003-10-01,0.00364305885692,5.02140605435e-05,0.609507913514,0.689833513514
2003-11-01,0.00368903564713,5.02980472542e-05,0.611522222222,0.695112357724
2003-12-01,0.00369360156157,5.11264214298e-05,0.64459403147,0.724210092241
2004-01-01,0.00374202164246,5.13780966308e-05,0.658035820734,0.747153887689
2004-02-01,0.00364056068506,5.08917393576e-05,0.655759398496,0.762163265306
2004-03-01,0.00362778473773,4.98710119401e-05,0.636407401281,0.741548612593
2004-04-01,0.00358009852712,5.01580597429e-05,0.623555542553,0.732749148936
2004-05-01,0.00349408907056,4.78957737667e-05,0.622083553675,0.723466948704
2004-06-01,0.00353716351682,4.89976582433e-05,0.628172936215,0.738097733263
2004-07-01,0.0036303745242,4.88101310374e-05,0.633764920803,0.743750369588
2004-08-01,0.0036555471236,4.85497656984e-05,0.631165704485,0.735804643799
2004-09-01,0.00372819589863,4.85579195679e-05,0.632120484466,0.724469668246
2004-10-01,0.00385316321447,4.91732796028e-05,0.646118564694,0.728193452069
2004-11-01,0.00401236109816,5.09648407531e-05,0.670468277487,0.75012513089
2004-12-01,0.00394659388225,5.13876524206e-05,0.696506158697,0.784412191277
2005-01-01,0.00391934444984,5.13097845699e-05,0.676312763503,0.758976927111
2005-02-01,0.00385977410541,5.00870987722e-05,0.669104306569,0.759562669447
2005-03-01,0.00393537094986,4.97486384971e-05,0.677871339886,0.763493274703
2005-04-01,0.00384613865078,4.85221904565e-05,0.663777697842,0.758050256937
2005-05-01,0.00379712800562,4.89414051401e-05,0.652876604938,0.745605915638
2005-06-01,0.00385282846977,4.77590493542e-05,0.6257481491,0.729883650386
2005-07-01,0.00389298146467,4.60861772381e-05,0.615976642784,0.700638382805
2005-08-01,0.00395139221438,4.6409916522e-05,0.627395570265,0.716298167006
2005-09-01,0.00402534207986,4.57246182119e-05,0.619823179074,0.714200402414
2005-10-01,0.0039922863727,4.4190557366e-05,0.60936814257,0.6973562751
2005-11-01,0.00401064650826,4.30721201399e-05,0.601441847166,0.690974848178
2005-12-01,0.00408866945094,4.32441434611e-05,0.60956379065,0.699916768293
2006-01-01,0.00409559395334,4.40267466035e-05,0.61565591528,0.700126575895
2006-02-01,0.00411687741717,4.29212443113e-05,0.60673467539,0.693217916457
2006-03-01,0.00407579574325,4.30250740213e-05,0.611333033033,0.688775675676
2006-04-01,0.00411448450681,4.28651877281e-05,0.622603503722,0.696670967742
2006-05-01,0.0042238168584,4.48243059364e-05,0.646293911111,0.737329037037
2006-06-01,0.00419377586778,4.35632666135e-05,0.640101222277,0.727769098078
2006-07-01,0.00412707413706,4.28789922159e-05,0.638412014742,0.725031941032
2006-08-01,0.00416023394915,4.29906873174e-05,0.64426949485,0.746864345267
2006-09-01,0.00416937266403,4.2727030435e-05,0.642997092164,0.7474319862
2006-10-01,0.00415368623768,4.24130617137e-05,0.64166635778,0.749484142716
2006-11-01,0.00413657575058,4.27311722018e-05,0.656680377171,0.766898263027
2006-12-01,0.00406471983977,4.27093463042e-05,0.674449628345,0.790801635282
2007-01-01,0.00397642866929,4.13925677525e-05,0.658200053355,0.779934491345
2007-02-01,0.00400240960698,4.09894588672e-05,0.661009243289,0.779713413825
2007-03-01,0.00400484729631,4.19097169658e-05,0.667744127157,0.771934824107
2007-04-01,0.00410281508565,4.11757632049e-05,0.68112225308,0.784826451719
2007-05-01,0.00423794906615,4.03815452467e-05,0.678796031719,0.780516184257
2007-06-01,0.00433711369726,3.95568462793e-05,0.673330292006,0.781895062202
2007-07-01,0.00439976688557,3.99029258257e-05,0.687094042698,0.796418849826
2007-08-01,0.00435596774755,4.17442176894e-05,0.683800189499,0.791180134381
2007-09-01,0.00449228053823,4.23244297518e-05,0.698802532496,0.792877164372
2007-10-01,0.0047184530031,4.19755534737e-05,0.716977088678,0.805487182678
2007-11-01,0.00474321413878,4.33998805342e-05,0.739260271105,0.812568692102
2007-12-01,0.00459351105025,4.29822448903e-05,0.736420499343,0.796702946162
2008-01-01,0.00452731685125,4.44748140678e-05,0.738493234792,0.769113511465
2008-02-01,0.00458589062771,4.45401352741e-05,0.740484281483,0.770274879188
2008-03-01,0.00453512217604,4.71858538928e-05,0.779532426661,0.781748061144
2008-04-01,0.00448775584117,4.61597297402e-05,0.789082360827,0.774844406791
2008-05-01,0.00456269192012,4.5257798368e-05,0.777369723771,0.76737970383
2008-06-01,0.00445596380317,4.38634923353e-05,0.772926060828,0.765657199004
2008-07-01,0.00445234959765,4.36177041684e-05,0.777475714208,0.769429906712
2008-08-01,0.00427570103908,4.28289167918e-05,0.739743000466,0.737943319062
2008-09-01,0.00428141690304,4.41387127862e-05,0.711714776742,0.707310577147
2008-10-01,0.0038327264924,4.74907808418e-05,0.665220318322,0.668802574652
2008-11-01,0.00378670095799,4.97220503548e-05,0.648403681299,0.619068659527
2008-12-01,0.00375463969908,5.33219007104e-05,0.693712226725,0.604114104686
2009-01-01,0.00376216548842,5.34555818273e-05,0.671411204729,0.581512908313
2009-02-01,0.00370529451829,5.1438668707e-05,0.648133345586,0.581792613328
2009-03-01,0.00364960450602,4.88679875123e-05,0.661859159697,0.571572429939
2009-04-01,0.00376703348417,4.82214827023e-05,0.670101172388,0.593337084975
2009-05-01,0.00402415689215,4.91179064606e-05,0.691182253479,0.622902887925
2009-06-01,0.00409773741633,4.85227249899e-05,0.705205806401,0.657968640614
2009-07-01,0.00409902790691,4.95604016676e-05,0.705545569791,0.659375902596
2009-08-01,0.00423157590714,4.92709293871e-05,0.715104450643,0.666384350936
2009-09-01,0.00424336855458,5.11435197336e-05,0.730339307956,0.658304339975
2009-10-01,0.00434358796063,5.14027400867e-05,0.743665547214,0.653948569922
2009-11-01,0.00434827386823,5.18955924123e-05,0.748397725697,0.671387463597
2009-12-01,0.00436378416114,5.15406338959e-05,0.735468217033,0.661215379557
2010-01-01,0.00439016951359,5.05645855552e-05,0.711367687032,0.654710434867
2010-02-01,0.00434104676397,5.10912716398e-05,0.684059960967,0.635554694313
2010-03-01,0.0044800012801,5.08122226908e-05,0.683329259159,0.613719828517
2010-04-01,0.00456290653535,4.93369359159e-05,0.677161268571,0.627320156507
2010-05-01,0.00440937526472,4.99921727614e-05,0.634316970547,0.601072793774
2010-06-01,0.00442131798434,5.05325901486e-05,0.617753162205,0.606398274952
2010-07-01,0.00438937411799,5.20634202541e-05,0.644572333506,0.626870754228
2010-08-01,0.00439090582404,5.35021114605e-05,0.649547299278,0.644196287882
2010-09-01,0.00443136960465,5.42233138228e-05,0.661331424334,0.640944062187
2010-10-01,0.00451107610781,5.61774402863e-05,0.702832770185,0.652930122399
2010-11-01,0.00454322848169,5.54503766228e-05,0.690678244814,0.65871048386
2010-12-01,0.00456491390568,5.45918254251e-05,0.671669434572,0.648905232709
2011-01-01,0.00462808084996,5.4581754273e-05,0.671212384719,0.654289788078
