date,All-items,Housing,Healthcare,Food & beverage,Energy,Apparel,Furniture & utensils,Education,Recreation,Core,Transportation
2011-03-01,-0.5,-0.3,-0.7,-0.1,5.7,-0.6,-5.4,-8.3,-4.5,-1.4,1.3
2011-04-01,-0.5,-0.2,-1.0,-0.7,6.6,-0.6,-5.4,0.2,-5.7,-1.2,1.6
2011-05-01,-0.4,-0.1,0.0,-1.1,5.3,-0.6,-5.2,0.2,-4.6,-0.8,1.1
2011-06-01,-0.4,-0.2,-0.2,-0.8,4.9,-0.5,-5.1,0.2,-4.5,-0.8,0.7
2011-07-01,0.2,-0.2,-0.8,0.3,6.1,0.3,-4.7,0.1,-3.6,-0.5,1.7
2011-08-01,0.2,-0.3,-0.7,-0.2,7.1,0.5,-5.0,0.1,-3.3,-0.5,1.9
2011-09-01,0.0,-0.2,-0.7,-0.9,6.5,0.0,-6.0,0.2,-2.6,-0.4,1.6
2011-10-01,-0.2,-0.2,-1.2,-0.2,6.2,0.3,-5.8,0.2,-3.2,-1.0,1.3
2011-11-01,-0.5,-0.2,-1.1,-1.2,6.8,0.0,-6.1,0.2,-4.1,-1.1,1.5
2011-12-01,-0.2,-0.2,-1.2,-0.1,6.9,0.0,-6.8,0.2,-3.8,-1.1,1.5
2012-01-01,0.1,-0.3,-1.0,1.0,5.6,0.7,-3.0,0.2,-4.1,-0.8,1.3
2012-02-01,0.3,-0.3,-1.2,1.1,5.1,0.7,-3.4,0.2,-1.9,-0.5,0.9
2012-03-01,0.5,-0.2,-0.8,1.5,5.6,0.2,-3.3,0.3,-1.2,-0.4,1.0
2012-04-01,0.5,-0.3,-0.6,0.7,5.4,-0.1,-3.4,0.3,-0.1,-0.3,0.9
2012-05-01,0.2,-0.4,-1.2,1.0,3.7,-0.1,-4.0,0.3,-1.2,-0.6,0.3
2012-06-01,-0.1,-0.3,-1.2,0.2,2.0,-0.1,-3.5,0.3,-1.6,-0.6,-0.4
2012-07-01,-0.4,-0.4,-0.7,-0.5,0.7,0.2,-3.1,0.4,-1.8,-0.6,-1.2
2012-08-01,-0.5,-0.3,-0.6,-0.6,0.8,-0.3,-3.0,0.4,-1.2,-0.6,-1.1
2012-09-01,-0.3,-0.3,-0.6,-0.9,4.3,-0.2,-2.1,0.4,-2.1,-0.6,0.3
2012-10-01,-0.4,-0.4,-0.4,-1.6,4.6,-0.2,-1.7,0.4,-2.0,-0.5,0.9
2012-11-01,-0.2,-0.4,-0.7,-0.5,3.5,-0.5,-2.0,0.4,-0.9,-0.5,0.2
2012-12-01,-0.1,-0.4,-0.6,-0.3,3.4,-0.3,-1.9,0.4,-1.2,-0.6,0.2
2013-01-01,-0.3,-0.4,-0.7,-0.7,4.0,0.3,-5.2,0.4,-0.9,-0.7,0.0
2013-02-01,-0.6,-0.4,-0.5,-1.9,5.0,-0.5,-3.9,0.4,-2.8,-0.9,0.9
2013-03-01,-0.9,-0.4,-0.5,-2.5,2.2,-0.1,-3.2,0.4,-2.7,-0.8,-0.3
2013-04-01,-0.7,-0.4,-0.7,-1.8,1.3,0.0,-3.0,0.5,-2.3,-0.5,-0.1
2013-05-01,-0.3,-0.4,-0.9,-1.5,3.8,0.1,-2.5,0.5,-1.7,-0.3,0.5
2013-06-01,0.2,-0.5,-0.7,-0.9,6.9,0.2,-2.4,0.5,-1.2,-0.3,1.9
2013-07-01,0.7,-0.4,-0.5,0.1,8.7,0.8,-2.0,0.5,-1.0,-0.1,2.6
2013-08-01,0.9,-0.4,-0.5,0.5,9.2,0.7,-1.7,0.5,-0.8,0.0,3.1
2013-09-01,1.0,-0.4,-0.7,1.6,7.4,0.7,-1.3,0.6,-0.6,0.0,2.5
2013-10-01,1.1,-0.4,-0.5,1.4,7.0,0.6,-0.9,0.6,0.0,0.3,1.7
2013-11-01,1.6,-0.3,-0.4,1.9,7.6,0.6,-0.2,0.6,1.2,0.5,2.3
2013-12-01,1.6,-0.4,-0.4,2.1,6.8,0.6,0.3,0.6,1.5,0.7,2.1
2014-01-01,1.4,-0.3,-0.4,1.3,6.8,0.3,1.9,0.6,1.1,0.6,2.0
2014-02-01,1.5,-0.3,-0.5,2.0,5.8,1.3,2.2,0.6,1.6,0.7,1.3
2014-03-01,1.6,-0.3,-0.4,2.4,6.1,0.3,1.6,0.8,1.5,0.6,1.3
2014-04-01,3.4,0.0,1.8,5.1,7.9,2.2,5.4,2.3,4.4,2.2,3.2
2014-05-01,3.7,0.0,1.6,5.3,10.1,2.3,5.4,2.3,4.1,2.2,3.6
2014-06-01,3.6,0.2,1.4,5.2,9.6,2.0,5.1,2.3,4.7,2.3,3.5
2014-07-01,3.4,0.2,1.4,4.5,8.8,2.3,4.4,2.3,4.9,2.3,3.9
2014-08-01,3.4,0.1,1.4,4.9,6.8,2.8,4.6,2.3,4.6,2.2,2.8
2014-09-01,3.3,0.1,1.5,5.1,5.2,2.7,4.1,2.2,4.7,2.2,2.4
2014-10-01,2.9,0.2,1.3,3.8,4.9,3.0,3.9,2.2,4.7,2.1,3.2
2014-11-01,2.4,0.1,1.5,2.9,3.9,3.4,3.3,2.2,3.8,2.1,2.6
2014-12-01,2.4,0.2,1.5,3.2,2.9,3.2,3.3,2.2,3.7,2.1,2.0
2015-01-01,2.4,0.2,1.7,4.2,-0.5,3.8,2.5,2.2,3.4,2.0,0.4
2015-02-01,2.2,0.2,1.7,4.1,-2.1,3.5,1.5,2.2,3.4,2.0,-0.4
2015-03-01,2.3,0.2,1.7,4.2,-1.0,3.7,2.4,2.2,3.7,2.1,0.2
2015-04-01,0.6,0.0,0.2,2.7,-3.4,1.8,-0.3,1.5,-0.1,0.4,-2.4
2015-05-01,0.5,0.0,0.5,3.2,-6.0,1.7,0.3,1.5,0.6,0.4,-2.4
2015-06-01,0.4,-0.1,0.7,2.5,-6.9,2.0,0.7,1.5,0.7,0.5,-2.0
2015-07-01,0.3,-0.1,0.8,2.5,-8.7,1.4,1.4,1.4,1.2,0.6,-2.3
2015-08-01,0.2,0.0,0.8,2.8,-10.6,1.7,1.6,1.4,1.5,0.8,-2.6
2015-09-01,0.0,0.0,0.7,2.3,-12.0,1.7,1.8,1.5,2.1,0.9,-2.8
2015-10-01,0.3,0.0,0.6,3.4,-11.9,1.7,1.8,1.5,2.0,0.8,-3.3
2015-11-01,0.3,0.0,0.6,2.9,-11.1,1.8,2.2,1.5,2.5,0.9,-2.7
2015-12-01,0.2,0.0,0.8,2.4,-11.1,1.8,2.3,1.5,2.3,0.8,-2.8
2016-01-01,-0.1,-0.1,0.6,1.7,-10.6,1.7,1.0,1.5,1.9,0.7,-2.3
2016-02-01,0.3,-0.1,0.6,2.7,-10.9,2.5,0.6,1.9,2.3,0.8,-2.0
2016-03-01,0.0,-0.1,0.8,2.7,-13.3,2.1,0.2,1.7,1.6,0.6,-3.0
2016-04-01,-0.3,0.0,0.6,1.2,-12.6,2.3,0.1,1.4,2.1,0.7,-2.5
2016-05-01,-0.4,-0.1,0.5,0.8,-12.6,2.3,0.3,1.4,2.0,0.7,-2.7
2016-06-01,-0.5,-0.1,0.6,1.1,-11.8,2.0,0.0,1.4,1.0,0.5,-2.4
2016-07-01,-0.5,-0.2,0.5,1.2,-11.3,2.2,-0.3,1.5,0.5,0.3,-2.8
2016-08-01,-0.6,-0.2,0.6,0.6,-10.1,2.4,-0.4,1.5,0.0,0.2,-2.4
2016-09-01,-0.6,-0.2,0.7,0.6,-8.4,1.4,-0.6,1.5,-0.8,0.0,-2.0
2016-10-01,0.0,-0.2,0.8,2.2,-7.8,1.2,-0.3,1.5,0.0,0.1,-1.6
2016-11-01,0.4,-0.2,0.8,3.5,-6.5,1.0,-0.2,1.5,-0.5,-0.1,-1.4
2016-12-01,0.2,-0.3,0.7,2.4,-4.1,0.6,-0.6,1.5,-0.1,-0.1,-0.4
