date,partc,partc-m,partc-w,unemp
2013-07-01,59.2108819025313,70.61567164179104,48.55451062347614,3.8
2013-08-01,59.36965330932013,70.59701492537313,48.8946910356832,4.1
2013-09-01,59.38231586529804,70.5410447761194,48.9731987469544,3.9
2013-10-01,59.54610951008645,70.59152827019966,49.23398328690808,4
2013-11-01,59.74961722057102,70.75401269130272,49.46910356832028,3.9
2013-12-01,59.44169293111211,70.28742067935796,49.321266968325794,3.7
2014-01-01,59.2002161577952,70.16987119656524,48.97284122562674,3.7
2014-02-01,59.34432135458885,70.3676058966225,49.04247910863509,3.6
2014-03-01,59.54954954954955,70.74080985258445,49.11180773249739,3.6
2014-04-01,59.47747747747748,70.64203060843597,49.068431133553894,3.6
2014-05-01,59.6271613832853,70.65298507462686,49.3470311683789,3.6
2014-06-01,59.565843992073496,70.44776119402985,49.40787182166492,3.7
2014-07-01,59.587498874178145,70.51688747900727,49.3734772015315,3.7
2014-08-01,59.54074741107609,70.62884866579586,49.1991643454039,3.5
2014-09-01,59.576767221972084,70.52238805970148,49.36444367055546,3.5
2014-10-01,59.565843992073496,70.34894569882441,49.494949494949495,3.6
2014-11-01,59.555115273775215,70.21078157060249,49.58202716823406,3.5
2014-12-01,59.65781179648807,70.31716417910448,49.69528121191015,3.4
2015-01-01,59.538821833903796,70.45878403580753,49.35562521769418,3.5
2015-02-01,59.690201729106626,70.52238805970148,49.59080619885077,3.5
2015-03-01,59.66492523869573,70.46090688561299,49.57339369667421,3.4
2015-04-01,59.44169293111211,70.13616862525647,49.45150618143827,3.4
2015-05-01,59.57312680115274,70.22388059701493,49.62550078383557,3.3
2015-06-01,59.67233774417139,70.32823573293547,49.73029406646946,3.4
2015-07-01,59.605512023777365,70.26119402985074,49.64291935202926,3.4
2015-08-01,59.659551472574975,70.30404775228503,49.71259362480404,3.4
2015-09-01,59.877543670088244,70.52572706935123,49.92164374020547,3.4
2015-10-01,59.74248154150909,70.38970725340295,49.78241949521323,3.2
2015-11-01,59.6271613832853,70.32823573293547,49.6256312032039,3.3
2015-12-01,59.83067639376745,70.51473330846699,49.83458122932266,3.3
2016-01-01,60.08282319049334,70.52023121387283,50.34818941504178,3.2
2016-02-01,59.834293948126806,70.3524146932687,50.04354642048424,3.2
2016-03-01,59.73710272800936,70.0727204922618,50.08704735376045,3.2
2016-04-01,59.87031700288185,70.35794183445189,50.095802125065326,3.2
2016-05-01,59.904556095804075,70.48844146159581,50.01741553465692,3.2
2016-06-01,60.17109410175596,70.53887749393995,50.4790106253266,3.1
2016-07-01,60.26114362899595,70.52572706935123,50.66179031696273,3
2016-08-01,60.26114362899595,70.55752377400708,50.63555632944454,3.1
2016-09-01,60.17475903071795,70.52238805970148,50.51384776171399,3
2016-10-01,60.199945960551204,70.64528161133904,50.444173488939214,3
2016-11-01,60.20353025936599,70.64528161133904,50.444173488939214,3.1
2016-12-01,60.407097180942095,70.85586425508112,50.63577773906985,3.1
2017-01-01,60.345759049162616,70.67486950037286,50.71403692093347,3
2017-02-01,60.06663065009905,70.31512213313445,50.52246603970742,2.8
2017-03-01,60.15491308655319,70.32823573293547,50.64437478230581,2.8
2017-04-01,60.39282818271916,70.4269998135372,51.04566050888811,2.8
2017-05-01,60.57467123040894,70.61346261420847,51.202509585221335,3.1
2017-06-01,60.58229673697494,70.50923335198657,51.290547610742934,2.8
2017-07-01,60.668287850130596,70.68804773447697,51.271334029954716,2.8
2017-08-01,60.808863267879666,70.7812791348126,51.489287580560884,2.8
2017-09-01,60.6863009997298,70.68258112644536,51.36735760320502,2.8
