DATE,PAYEMS_CHG
1951-04-01,-15
1951-05-01,97
1951-06-01,115
1951-07-01,-6
1951-08-01,-53
1951-09-01,-54
1951-10-01,54
1951-11-01,139
1951-12-01,161
1952-01-01,-11
1952-02-01,224
1952-03-01,-18
1952-04-01,112
1952-05-01,29
1952-06-01,-359
1952-07-01,-142
1952-08-01,779
1952-09-01,396
1952-10-01,279
1952-11-01,218
1952-12-01,348
1953-01-01,-19
1953-02-01,194
1953-03-01,136
1953-04-01,-43
1953-05-01,59
1953-06-01,31
1953-07-01,14
1953-08-01,-49
1953-09-01,-122
1953-10-01,-123
1953-11-01,-335
1953-12-01,-205
1954-01-01,-234
1954-02-01,-86
1954-03-01,-224
1954-04-01,20
1954-05-01,-213
1954-06-01,-69
1954-07-01,-61
1954-08-01,-10
1954-09-01,57
1954-10-01,62
1954-11-01,234
1954-12-01,153
1955-01-01,166
1955-02-01,147
1955-03-01,319
1955-04-01,284
1955-05-01,265
1955-06-01,278
1955-07-01,195
1955-08-01,126
1955-09-01,151
1955-10-01,169
1955-11-01,161
1955-12-01,213
1956-01-01,170
1956-02-01,192
1956-03-01,128
1956-04-01,80
1956-05-01,131
1956-06-01,78
1956-07-01,-630
1956-08-01,676
1956-09-01,-29
1956-10-01,180
1956-11-01,41
1956-12-01,108
1957-01-01,-42
1957-02-01,209
1957-03-01,60
1957-04-01,81
1957-05-01,-89
1957-06-01,-83
1957-07-01,57
1957-08-01,3
1957-09-01,-194
1957-10-01,-167
1957-11-01,-206
1957-12-01,-174
1958-01-01,-308
1958-02-01,-501
1958-03-01,-276
1958-04-01,-273
1958-05-01,-114
1958-06-01,-1
1958-07-01,125
1958-08-01,194
1958-09-01,275
1958-10-01,-20
1958-11-01,458
1958-12-01,144
1959-01-01,392
1959-02-01,207
1959-03-01,329
1959-04-01,304
1959-05-01,229
1959-06-01,130
1959-07-01,124
1959-08-01,-469
1959-09-01,95
1959-10-01,-70
1959-11-01,276
1959-12-01,540
1960-01-01,99
1960-02-01,239
1960-03-01,-55
1960-04-01,354
1960-05-01,-339
1960-06-01,-126
1960-07-01,-43
1960-08-01,-33
1960-09-01,-43
1960-10-01,-84
1960-11-01,-182
1960-12-01,-218
1961-01-01,-61
1961-02-01,-127
1961-03-01,106
1961-04-01,-36
1961-05-01,159
1961-06-01,192
1961-07-01,146
1961-08-01,175
1961-09-01,90
1961-10-01,134
