DATE,TWEXB
2000-05-17,120.1176
2000-05-24,120.3395
2000-05-31,119.6910
2000-06-07,118.6755
2000-06-14,118.5670
2000-06-21,118.4607
2000-06-28,119.0730
2000-07-05,118.5107
2000-07-12,118.7805
2000-07-19,119.2439
2000-07-26,118.9776
2000-08-02,119.5885
2000-08-09,119.9790
2000-08-16,119.6916
2000-08-23,119.7177
2000-08-30,119.8179
2000-09-06,119.9719
2000-09-13,121.0787
2000-09-20,122.0158
2000-09-27,121.4244
2000-10-04,121.5690
2000-10-11,122.0081
2000-10-18,123.0196
2000-10-25,123.6756
2000-11-01,123.9509
2000-11-08,123.4123
2000-11-15,123.6336
2000-11-22,124.4027
2000-11-29,124.5009
2000-12-06,123.5828
2000-12-13,123.2641
2000-12-20,122.9036
2000-12-27,122.4529
2001-01-03,122.2742
2001-01-10,122.3261
2001-01-17,123.0222
2001-01-24,123.1098
2001-01-31,123.1209
2001-02-07,122.6336
2001-02-14,123.5075
2001-02-21,123.8630
2001-02-28,124.1041
2001-03-07,124.0152
2001-03-14,124.6057
2001-03-21,126.1818
2001-03-28,126.6331
2001-04-04,127.2611
2001-04-11,126.6093
2001-04-18,126.5858
2001-04-25,126.0632
2001-05-02,126.0911
2001-05-09,125.8957
2001-05-16,126.5795
2001-05-23,126.2653
2001-05-30,126.8779
2001-06-06,127.1940
2001-06-13,127.1661
2001-06-20,127.2143
2001-06-27,127.1238
2001-07-04,127.5266
2001-07-11,127.9984
2001-07-18,128.2650
2001-07-25,127.2583
2001-08-01,126.9902
2001-08-08,126.5777
2001-08-15,125.6217
2001-08-22,124.8849
2001-08-29,125.0166
2001-09-05,125.4715
2001-09-12,126.1616
2001-09-19,125.5345
2001-09-26,125.8184
2001-10-03,126.4199
2001-10-10,126.4449
2001-10-17,126.4825
2001-10-24,127.0951
2001-10-31,127.0517
2001-11-07,126.9046
2001-11-14,127.0498
2001-11-21,127.5039
2001-11-28,127.6453
2001-12-05,127.1334
2001-12-12,127.0443
2001-12-19,126.6775
2001-12-26,128.0116
2002-01-02,128.1435
2002-01-09,128.1216
2002-01-16,128.5835
2002-01-23,129.1984
2002-01-30,129.8206
