date,"(Unadj) Employment-Population Ratio - 16-19 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 35-44 yrs., White Men","(Unadj) Employment-Population Ratio - 25-34 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., White Women","(Unadj) Employment-Population Ratio - 25-54 yrs., Black or African American Women",(Unadj) Employment-Population Ratio - 25-34 yrs. Hispanic or Latino Men,"(Unadj) Employment-Population Ratio - 25-54 yrs., White Women","(Unadj) Employment-Population Ratio - 25-54 yrs., White Men","(Unadj) Employment-Population Ratio - 25-54 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 20-24 yrs. Hispanic or Latino, Hispanic or Latino Women","(Unadj) Employment-Population Ratio - 20-24 yrs. Hispanic or Latino, Hispanic or Latino Men","(Unadj) Employment-Population Ratio - 20-24 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 20-24 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 20-24 yrs., White Women","(Unadj) Employment-Population Ratio - 20-24 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., Black or African American Women",(Unadj) Employment-Population Ratio - 16-19 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 16-19 yrs. Hispanic or Latino Men,"(Unadj) Employment-Population Ratio - 25-54 yrs., Hispanic or Latino Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Hispanic or Latino Men",(Unadj) Employment-Population Ratio - 55-64 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 45-54 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 35-44 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 25-54 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 55-64 yrs., White Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, White Men","(Unadj) Employment-Population Ratio - 35-44 yrs., White Women","(Unadj) Employment-Population Ratio - 45-54 yrs., White Women","(Unadj) Employment-Population Ratio - 45-54 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Black or African American Men",(Unadj) Employment-Population Ratio - 45-54 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 35-44 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 25-34 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 55-64 yrs., White Women",(Unadj) Employment-Population Ratio - 55-64 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 65 yrs. & over, Black or African American Women","(Unadj) Employment-Population Ratio - 45-54 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 55-64 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 45-54 yrs., White Men","(Unadj) Employment-Population Ratio - 25-34 yrs., White Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 55-64 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Hispanic or Latino Women","(Unadj) Employment-Population Ratio - 65 yrs. & over, White Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Black or African American Women"
2003-01-01,19.875,88.975,88.1833333333,39.4083333333,41.4916666667,71.7,87.6833333333,72.4666666667,87.4916666667,75.2583333333,56.125,77.9666666667,53.3166666667,56.2416666667,67.2,74.9833333333,23.45,28.3833333333,31.9,86.2,16.7333333333,64.6416666667,80.2583333333,87.9333333333,60.525,66.7833333333,17.9083333333,72.3166666667,74.7666666667,72.5,16.075,60.8416666667,63.65,57.725,55.45,44.5666666667,9.725,69.8666666667,48.8583333333,77.825,85.275,70.0833333333,75.0916666667,53.6833333333,8.96666666667,10.3916666667,70.7833333333,74.0833333333
2004-01-01,19.3083333333,89.475,88.6916666667,39.7083333333,40.3083333333,71.05,88.4,72.4583333333,87.9416666667,75.2083333333,57.1833333333,76.425,55.7166666667,55.725,66.8083333333,75.1,23.5833333333,27.175,33.3916666667,87.4416666667,19.375,65.65,83.0666666667,89.0083333333,61.6833333333,67.2583333333,18.45,72.2666666667,74.6,71.35,16.225,64.0166666667,64.3,58.0916666667,55.025,45.025,9.98333333333,69.45,49.775,77.2416666667,85.6583333333,70.225,76.725,53.425,9.35833333333,10.825,68.8916666667,74.4666666667
2005-01-01,20.775,89.9083333333,89.2583333333,38.75,41.7666666667,71.2333333333,89.2833333333,72.55,88.4583333333,76.7666666667,53.925,77.2666666667,57.0,55.7583333333,66.4333333333,74.975,22.4166666667,29.0916666667,33.7833333333,88.2416666667,19.1666666667,66.6083333333,84.2333333333,89.4833333333,61.5416666667,68.2416666667,19.45,72.725,74.3083333333,73.3583333333,15.8583333333,63.4083333333,64.4583333333,57.9583333333,55.775,45.975,10.6166666667,69.3166666667,50.825,79.5,86.2416666667,70.2916666667,77.2083333333,53.85,8.80833333333,11.0416666667,70.175,74.0
2006-01-01,21.7,90.3,89.3083333333,40.025,41.1083333333,71.8833333333,90.1333333333,72.9666666667,88.8083333333,77.1166666667,56.3833333333,80.1583333333,56.1166666667,59.2666666667,66.4583333333,75.9416666667,26.3833333333,29.525,34.7666666667,88.9,22.0333333333,67.2083333333,84.125,90.4583333333,62.875,68.9833333333,20.0833333333,72.925,74.4833333333,74.2666666667,15.7166666667,64.5583333333,64.9583333333,60.0333333333,57.0666666667,48.1833333333,11.3083333333,69.2333333333,52.9083333333,79.425,86.95,71.2333333333,77.5,52.8166666667,9.975,11.2916666667,71.475,74.6916666667
2007-01-01,19.525,90.3083333333,89.5333333333,37.325,39.2416666667,72.2916666667,89.875,72.8916666667,88.9083333333,77.9333333333,57.6333333333,79.0583333333,56.7833333333,59.1416666667,67.1416666667,74.7833333333,23.275,28.5333333333,32.0916666667,88.7833333333,20.875,67.5083333333,84.3666666667,90.3916666667,63.5666666667,69.075,20.0666666667,72.4583333333,74.4166666667,74.0583333333,16.4416666667,65.7083333333,64.9833333333,60.9833333333,57.2583333333,45.0916666667,11.5,69.55,53.6583333333,81.425,87.0666666667,71.55,78.2416666667,51.5833333333,10.9666666667,12.3,71.625,75.5333333333
2008-01-01,18.6666666667,89.0083333333,87.7166666667,34.7833333333,37.0583333333,72.0416666667,87.8166666667,72.65,87.4583333333,76.1083333333,55.2333333333,74.3833333333,54.325,57.3833333333,66.2583333333,72.5666666667,21.7333333333,26.2666666667,30.8916666667,86.925,19.9916666667,68.0833333333,83.15,88.4333333333,62.5416666667,69.4916666667,20.9,72.5083333333,73.9083333333,72.9916666667,16.35,63.2833333333,64.975,59.8916666667,57.675,46.8083333333,12.1916666667,69.0666666667,52.375,80.1416666667,85.8083333333,71.3,75.2666666667,52.1333333333,10.8,12.7833333333,72.1,74.9083333333
2009-01-01,14.25,85.225,82.6416666667,30.1583333333,33.4083333333,68.475,81.175,70.8833333333,83.2166666667,69.1166666667,53.2583333333,68.65,50.2,48.9083333333,64.1666666667,66.6166666667,18.5916666667,23.425,24.075,81.4666666667,21.2416666667,63.75,79.5,83.2,60.3666666667,66.8666666667,20.8166666667,70.6083333333,72.3666666667,67.8166666667,16.3833333333,62.7416666667,61.6166666667,57.6083333333,57.25,48.1666666667,12.4416666667,66.925,50.6166666667,73.1916666667,81.9333333333,69.3916666667,66.6333333333,51.1,11.6,12.7916666667,67.2666666667,71.3166666667
2010-01-01,14.1083333333,85.3333333333,82.125,27.5833333333,30.4083333333,66.8333333333,81.9833333333,70.1583333333,82.7916666667,68.8416666667,51.5833333333,65.4166666667,51.7916666667,46.9166666667,62.0333333333,64.875,14.9333333333,20.175,21.6916666667,81.575,22.1583333333,61.7166666667,77.975,83.75,60.5583333333,65.8583333333,20.8416666667,69.6916666667,71.4083333333,66.3,16.2666666667,62.9083333333,60.3666666667,59.1166666667,57.5,48.4166666667,12.1833333333,66.4,50.6833333333,73.325,81.1666666667,69.1583333333,67.35,49.8666666667,11.7083333333,13.0333333333,65.45,68.7916666667
2011-01-01,14.6166666667,86.025,82.95,27.25,30.4083333333,65.7,82.55,69.9416666667,83.45,67.9,52.725,67.3333333333,50.675,48.6166666667,61.2166666667,66.35,14.6833333333,18.8833333333,20.0666666667,82.225,21.1,62.675,78.75,84.375,59.9916666667,66.125,21.4833333333,69.65,71.4416666667,66.5583333333,17.5416666667,63.3166666667,60.4166666667,57.2,57.0666666667,47.7166666667,13.0,64.775,49.45,71.2416666667,81.6583333333,68.5166666667,66.3333333333,48.7833333333,12.1583333333,13.2,63.4333333333,69.0916666667
2012-01-01,15.0583333333,86.6416666667,84.2083333333,27.7166666667,30.2666666667,67.6,83.9333333333,69.9,84.3666666667,70.275,54.475,67.6416666667,52.65,49.4666666667,62.0583333333,67.5666666667,18.1333333333,21.2166666667,22.9166666667,83.125,19.2416666667,63.45,80.1583333333,84.4666666667,61.3,67.4,22.575,69.8333333333,70.85,68.175,17.1833333333,63.4833333333,62.2833333333,58.825,57.3333333333,47.05,13.2583333333,66.4083333333,49.7333333333,72.9166666667,82.5083333333,68.8833333333,70.0,51.3666666667,12.0083333333,13.5083333333,65.8083333333,70.75
