DATE,cpi
1924-03-01,10.16
1924-04-01,10.1
1924-05-01,10.1
1924-06-01,10.1
1924-07-01,10.16
1924-08-01,10.1
1924-09-01,10.16
1924-10-01,10.22
1924-11-01,10.22
1924-12-01,10.28
1925-01-01,10.28
1925-02-01,10.22
1925-03-01,10.28
1925-04-01,10.22
1925-05-01,10.28
1925-06-01,10.4
1925-07-01,10.52
1925-08-01,10.52
1925-09-01,10.52
1925-10-01,10.52
1925-11-01,10.7
1925-12-01,10.64
1926-01-01,10.64
1926-02-01,10.64
1926-03-01,10.58
1926-04-01,10.64
1926-05-01,10.58
1926-06-01,10.52
1926-07-01,10.4
1926-08-01,10.34
1926-09-01,10.4
1926-10-01,10.46
1926-11-01,10.52
1926-12-01,10.52
1927-01-01,10.4
1927-02-01,10.34
1927-03-01,10.28
1927-04-01,10.28
1927-05-01,10.34
1927-06-01,10.46
1927-07-01,10.28
1927-08-01,10.22
1927-09-01,10.28
1927-10-01,10.34
1927-11-01,10.28
1927-12-01,10.28
1928-01-01,10.28
1928-02-01,10.16
1928-03-01,10.16
1928-04-01,10.16
1928-05-01,10.22
1928-06-01,10.16
1928-07-01,10.16
1928-08-01,10.16
1928-09-01,10.28
1928-10-01,10.22
1928-11-01,10.22
1928-12-01,10.16
1929-01-01,10.16
1929-02-01,10.16
1929-03-01,10.1
1929-04-01,10.04
1929-05-01,10.1
1929-06-01,10.16
1929-07-01,10.28
1929-08-01,10.28
1929-09-01,10.28
1929-10-01,10.28
1929-11-01,10.28
1929-12-01,10.22
1930-01-01,10.16
1930-02-01,10.1
1930-03-01,10.04
1930-04-01,10.1
1930-05-01,10.04
1930-06-01,9.98
1930-07-01,9.86
1930-08-01,9.8
1930-09-01,9.86
1930-10-01,9.8
1930-11-01,9.74
1930-12-01,9.57
1931-01-01,9.45
1931-02-01,9.33
1931-03-01,9.27
1931-04-01,9.21
1931-05-01,9.09
1931-06-01,8.97
1931-07-01,8.97
1931-08-01,8.97
1931-09-01,8.91
1931-10-01,8.85
1931-11-01,8.73
1931-12-01,8.67
1932-01-01,8.5
1932-02-01,8.38
1932-03-01,8.32
1932-04-01,8.26
1932-05-01,8.14
1932-06-01,8.08
1932-07-01,8.08
1932-08-01,8.02
1932-09-01,7.96
1932-10-01,7.9
1932-11-01,7.84
1932-12-01,7.78
1933-01-01,7.66
1933-02-01,7.55
1933-03-01,7.49
1933-04-01,7.49
1933-05-01,7.49
1933-06-01,7.55
1933-07-01,7.78
1933-08-01,7.84
1933-09-01,7.84
1933-10-01,7.84
1933-11-01,7.84
1933-12-01,7.84
1934-01-01,7.84
1934-02-01,7.9
1934-03-01,7.9
1934-04-01,7.9
1934-05-01,7.9
1934-06-01,7.96
1934-07-01,7.96
1934-08-01,7.96
1934-09-01,8.08
1934-10-01,8.02
1934-11-01,8.02
1934-12-01,7.96
1935-01-01,8.08
1935-02-01,8.14
1935-03-01,8.14
1935-04-01,8.2
1935-05-01,8.2
1935-06-01,8.14
1935-07-01,8.14
1935-08-01,8.14
1935-09-01,8.14
1935-10-01,8.14
1935-11-01,8.2
1935-12-01,8.2
1936-01-01,8.2
1936-02-01,8.2
1936-03-01,8.14
1936-04-01,8.14
1936-05-01,8.14
1936-06-01,8.2
1936-07-01,8.26
1936-08-01,8.32
1936-09-01,8.32
1936-10-01,8.32
1936-11-01,8.32
1936-12-01,8.32
1937-01-01,8.38
1937-02-01,8.38
1937-03-01,8.44
1937-04-01,8.5
1937-05-01,8.56
1937-06-01,8.56
1937-07-01,8.62
1937-08-01,8.62
1937-09-01,8.67
1937-10-01,8.67
1937-11-01,8.62
1937-12-01,8.56
1938-01-01,8.44
1938-02-01,8.38
1938-03-01,8.38
1938-04-01,8.44
1938-05-01,8.38
1938-06-01,8.38
1938-07-01,8.38
1938-08-01,8.38
1938-09-01,8.38
1938-10-01,8.32
1938-11-01,8.32
1938-12-01,8.32
1939-01-01,8.32
1939-02-01,8.26
1939-03-01,8.26
1939-04-01,8.2
1939-05-01,8.2
1939-06-01,8.2
1939-07-01,8.2
1939-08-01,8.2
1939-09-01,8.38
1939-10-01,8.32
1939-11-01,8.32
1939-12-01,8.32
1940-01-01,8.26
1940-02-01,8.32
1940-03-01,8.32
1940-04-01,8.32
1940-05-01,8.32
1940-06-01,8.38
1940-07-01,8.32
1940-08-01,8.32
1940-09-01,8.32
1940-10-01,8.32
1940-11-01,8.32
1940-12-01,8.38
1941-01-01,8.38
1941-02-01,8.38
1941-03-01,8.44
1941-04-01,8.5
1941-05-01,8.56
1941-06-01,8.73
1941-07-01,8.73
1941-08-01,8.85
1941-09-01,8.97
1941-10-01,9.09
1941-11-01,9.15
1941-12-01,9.21
1942-01-01,9.33
1942-02-01,9.39
1942-03-01,9.51
1942-04-01,9.57
1942-05-01,9.69
1942-06-01,9.69
1942-07-01,9.74
1942-08-01,9.8
1942-09-01,9.8
1942-10-01,9.92
1942-11-01,9.98
1942-12-01,10.04
1943-01-01,10.04
1943-02-01,10.04
1943-03-01,10.22
1943-04-01,10.34
1943-05-01,10.4
1943-06-01,10.4
1943-07-01,10.34
1943-08-01,10.28
1943-09-01,10.34
1943-10-01,10.34
1943-11-01,10.34
1943-12-01,10.34
1944-01-01,10.34
1944-02-01,10.34
1944-03-01,10.34
1944-04-01,10.4
1944-05-01,10.4
1944-06-01,10.46
1944-07-01,10.52
1944-08-01,10.52
1944-09-01,10.52
1944-10-01,10.52
1944-11-01,10.52
1944-12-01,10.58
1945-01-01,10.58
1945-02-01,10.58
1945-03-01,10.58
1945-04-01,10.58
1945-05-01,10.64
1945-06-01,10.75
1945-07-01,10.75
1945-08-01,10.75
1945-09-01,10.75
1945-10-01,10.75
1945-11-01,10.75
1945-12-01,10.81
1946-01-01,10.81
1946-02-01,10.75
1946-03-01,10.87
1946-04-01,10.93
1946-05-01,10.99
1946-06-01,11.11
1946-07-01,11.76
1946-08-01,12
1946-09-01,12.12
1946-10-01,12.36
1946-11-01,12.66
1946-12-01,12.77
1947-01-01,12.77
1947-02-01,12.77
1947-03-01,13.01
1947-04-01,13.01
1947-05-01,13.01
1947-06-01,13.07
1947-07-01,13.19
1947-08-01,13.37
1947-09-01,13.67
1947-10-01,13.67
1947-11-01,13.73
1947-12-01,13.9
1948-01-01,14.08
1948-02-01,13.96
1948-03-01,13.9
1948-04-01,14.14
1948-05-01,14.2
1948-06-01,14.32
1948-07-01,14.5
1948-08-01,14.56
1948-09-01,14.56
1948-10-01,14.5
1948-11-01,14.38
1948-12-01,14.32
1949-01-01,14.26
1949-02-01,14.14
1949-03-01,14.14
1949-04-01,14.2
1949-05-01,14.14
1949-06-01,14.2
1949-07-01,14.08
1949-08-01,14.14
1949-09-01,14.2
1949-10-01,14.08
1949-11-01,14.14
1949-12-01,14.02
1950-01-01,13.96
1950-02-01,13.96
1950-03-01,14.02
1950-04-01,14.02
1950-05-01,14.08
1950-06-01,14.14
1950-07-01,14.32
1950-08-01,14.44
1950-09-01,14.5
1950-10-01,14.62
1950-11-01,14.68
1950-12-01,14.85
1951-01-01,15.09
1951-02-01,15.27
1951-03-01,15.33
1951-04-01,15.33
1951-05-01,15.39
1951-06-01,15.39
1951-07-01,15.39
1951-08-01,15.39
1951-09-01,15.51
1951-10-01,15.57
1951-11-01,15.69
1951-12-01,15.75
1952-01-01,15.75
1952-02-01,15.63
1952-03-01,15.63
1952-04-01,15.69
1952-05-01,15.69
1952-06-01,15.75
1952-07-01,15.86
1952-08-01,15.86
1952-09-01,15.86
1952-10-01,15.86
1952-11-01,15.86
1952-12-01,15.86
1953-01-01,15.81
1953-02-01,15.75
1953-03-01,15.81
1953-04-01,15.81
1953-05-01,15.86
1953-06-01,15.92
1953-07-01,15.92
1953-08-01,15.98
1953-09-01,15.98
1953-10-01,16.04
1953-11-01,15.98
1953-12-01,15.98
1954-01-01,15.98
1954-02-01,15.98
1954-03-01,15.98
1954-04-01,15.92
1954-05-01,15.98
1954-06-01,15.98
1954-07-01,15.98
1954-08-01,15.98
1954-09-01,15.92
1954-10-01,15.92
1954-11-01,15.92
1954-12-01,15.86
1955-01-01,15.86
1955-02-01,15.86
1955-03-01,15.86
1955-04-01,15.86
1955-05-01,15.86
1955-06-01,15.86
1955-07-01,15.92
1955-08-01,15.92
1955-09-01,15.98
1955-10-01,15.98
1955-11-01,15.98
1955-12-01,15.92
1956-01-01,15.92
1956-02-01,15.92
1956-03-01,15.92
1956-04-01,15.98
1956-05-01,16.04
1956-06-01,16.16
1956-07-01,16.28
1956-08-01,16.22
1956-09-01,16.28
1956-10-01,16.34
1956-11-01,16.34
1956-12-01,16.4
1957-01-01,16.4
1957-02-01,16.46
1957-03-01,16.52
1957-04-01,16.58
1957-05-01,16.64
1957-06-01,16.7
1957-07-01,16.82
1957-08-01,16.82
1957-09-01,16.82
1957-10-01,16.82
1957-11-01,16.87
1957-12-01,16.87
1958-01-01,16.99
1958-02-01,16.99
1958-03-01,17.11
1958-04-01,17.17
1958-05-01,17.17
1958-06-01,17.17
1958-07-01,17.23
1958-08-01,17.17
1958-09-01,17.17
1958-10-01,17.17
1958-11-01,17.23
1958-12-01,17.17
1959-01-01,17.23
1959-02-01,17.17
1959-03-01,17.17
1959-04-01,17.23
1959-05-01,17.23
1959-06-01,17.29
1959-07-01,17.35
1959-08-01,17.35
1959-09-01,17.41
1959-10-01,17.47
1959-11-01,17.47
1959-12-01,17.47
1960-01-01,17.41
1960-02-01,17.47
1960-03-01,17.47
1960-04-01,17.53
1960-05-01,17.53
1960-06-01,17.59
1960-07-01,17.59
1960-08-01,17.59
1960-09-01,17.59
1960-10-01,17.71
1960-11-01,17.71
1960-12-01,17.71
1961-01-01,17.71
1961-02-01,17.71
1961-03-01,17.71
1961-04-01,17.71
1961-05-01,17.71
1961-06-01,17.71
1961-07-01,17.83
1961-08-01,17.77
1961-09-01,17.83
1961-10-01,17.83
1961-11-01,17.83
1961-12-01,17.83
1962-01-01,17.83
1962-02-01,17.88
1962-03-01,17.88
1962-04-01,17.94
1962-05-01,17.94
1962-06-01,17.94
1962-07-01,18
1962-08-01,18
1962-09-01,18.06
1962-10-01,18.06
1962-11-01,18.06
1962-12-01,18.06
1963-01-01,18.06
1963-02-01,18.06
1963-03-01,18.12
1963-04-01,18.12
1963-05-01,18.12
1963-06-01,18.18
1963-07-01,18.24
1963-08-01,18.24
1963-09-01,18.24
1963-10-01,18.3
1963-11-01,18.3
1963-12-01,18.36
1964-01-01,18.36
1964-02-01,18.36
1964-03-01,18.36
1964-04-01,18.36
1964-05-01,18.36
1964-06-01,18.42
1964-07-01,18.48
1964-08-01,18.42
1964-09-01,18.48
1964-10-01,18.48
1964-11-01,18.54
1964-12-01,18.54
1965-01-01,18.54
1965-02-01,18.54
1965-03-01,18.6
1965-04-01,18.66
1965-05-01,18.66
1965-06-01,18.78
1965-07-01,18.78
1965-08-01,18.78
1965-09-01,18.78
1965-10-01,18.84
1965-11-01,18.84
1965-12-01,18.89
1966-01-01,18.89
1966-02-01,19.01
1966-03-01,19.07
1966-04-01,19.19
1966-05-01,19.19
1966-06-01,19.25
1966-07-01,19.31
1966-08-01,19.43
1966-09-01,19.43
1966-10-01,19.55
1966-11-01,19.55
1966-12-01,19.55
1967-01-01,21.33
1967-02-01,21.33
1967-03-01,21.39
1967-04-01,21.39
1967-05-01,21.51
1967-06-01,21.57
1967-07-01,21.63
1967-08-01,21.69
1967-09-01,21.75
1967-10-01,21.81
1967-11-01,21.87
1967-12-01,21.93
1968-01-01,21.98
1968-02-01,22.04
1968-03-01,22.16
1968-04-01,22.22
1968-05-01,22.28
1968-06-01,22.34
1968-07-01,22.46
1968-08-01,22.52
1968-09-01,22.58
1968-10-01,22.7
1968-11-01,22.76
1968-12-01,22.76
1969-01-01,22.82
1969-02-01,22.94
1969-03-01,23.05
1969-04-01,23.17
